2016-10-20 18:27:32 status unpacked coreutils:armhf 8.23-4
2016-10-20 18:27:32 install libcryptsetup4:armhf <none> 2:1.6.6-5
2016-10-20 18:27:32 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2016-10-20 18:27:32 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-10-20 18:27:32 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-10-20 18:27:33 install dash:armhf <none> 0.5.7-4+b1
2016-10-20 18:27:33 status half-installed dash:armhf 0.5.7-4+b1
2016-10-20 18:27:33 status unpacked dash:armhf 0.5.7-4+b1
2016-10-20 18:27:33 status unpacked dash:armhf 0.5.7-4+b1
2016-10-20 18:27:33 install libdb5.3:armhf <none> 5.3.28-9
2016-10-20 18:27:33 status half-installed libdb5.3:armhf 5.3.28-9
2016-10-20 18:27:33 status unpacked libdb5.3:armhf 5.3.28-9
2016-10-20 18:27:33 status unpacked libdb5.3:armhf 5.3.28-9
2016-10-20 18:27:33 upgrade debconf:all 1.5.56 1.5.56
2016-10-20 18:27:33 status half-configured debconf:all 1.5.56
2016-10-20 18:27:34 status unpacked debconf:all 1.5.56
2016-10-20 18:27:34 status half-installed debconf:all 1.5.56
2016-10-20 18:27:34 status half-installed debconf:all 1.5.56
2016-10-20 18:27:34 status unpacked debconf:all 1.5.56
2016-10-20 18:27:34 status unpacked debconf:all 1.5.56
2016-10-20 18:27:34 install debconf-i18n:all <none> 1.5.56
2016-10-20 18:27:34 status half-installed debconf-i18n:all 1.5.56
2016-10-20 18:27:34 status unpacked debconf-i18n:all 1.5.56
2016-10-20 18:27:34 status unpacked debconf-i18n:all 1.5.56
2016-10-20 18:27:34 install debianutils:armhf <none> 4.4+b1
2016-10-20 18:27:34 status half-installed debianutils:armhf 4.4+b1
2016-10-20 18:27:35 status unpacked debianutils:armhf 4.4+b1
2016-10-20 18:27:35 status unpacked debianutils:armhf 4.4+b1
2016-10-20 18:27:35 install diffutils:armhf <none> 1:3.3-1+b1
2016-10-20 18:27:35 status half-installed diffutils:armhf 1:3.3-1+b1
2016-10-20 18:27:35 status unpacked diffutils:armhf 1:3.3-1+b1
2016-10-20 18:27:35 status unpacked diffutils:armhf 1:3.3-1+b1
2016-10-20 18:27:35 upgrade dpkg:armhf 1.17.27 1.17.27
2016-10-20 18:27:35 status half-configured dpkg:armhf 1.17.27
2016-10-20 18:27:35 status unpacked dpkg:armhf 1.17.27
2016-10-20 18:27:35 status half-installed dpkg:armhf 1.17.27
